Ware_house_ID,WH_Manager_ID,Location_type,WH_capacity_size,zone,WH_regional_zone,num_refill_req_l3m,transport_issue_l1y,Competitor_in_mkt,retail_shop_num,wh_owner_type,distributor_num,flood_impacted,flood_proof,electric_supply,dist_from_hub,workers_num,wh_est_year,storage_issue_reported_l3m,temp_reg_mach,approved_wh_govt_certificate,wh_breakdown_l3m,govt_check_l3m,product_wg_ton
WH_106166,EID_56166,Rural,Large,North,Zone 5,6,0,4,4377,Rented,24,0,0,1,104,40.0,2010.0,18,0,A,4,14,23108
WH_106461,EID_56461,Urban,Small,South,Zone 1,0,1,4,5033,Company Owned,26,0,0,1,172,53.0,,16,0,B,5,21,19095
WH_100889,EID_50889,Rural,Large,North,Zone 6,0,0,2,3889,Company Owned,17,0,0,1,95,26.0,,18,0,B,2,23,22136
WH_100966,EID_50966,Rural,Mid,West,Zone 3,8,0,3,4744,Company Owned,50,0,0,1,221,23.0,2007.0,25,0,A,6,19,32063
WH_110481,EID_60481,Rural,Large,South,Zone 6,0,0,2,5316,Rented,33,0,0,1,96,26.0,,10,0,A,4,29,14079
WH_118214,EID_68214,Rural,Large,South,Zone 6,6,0,3,6760,Rented,32,0,0,1,191,29.0,2019.0,10,1,A+,4,29,15097
WH_101963,EID_51963,Rural,Small,South,Zone 6,6,0,4,3989,Company Owned,18,0,0,1,223,45.0,2008.0,21,0,A,2,9,28058
WH_109850,EID_59850,Rural,Mid,North,Zone 2,6,0,2,4452,Rented,49,0,0,0,194,17.0,2000.0,27,0,C,5,12,34111
WH_112062,EID_62062,Rural,Small,South,Zone 1,3,0,2,5912,Rented,31,0,0,1,244,36.0,2002.0,24,1,B+,2,21,28127
WH_114496,EID_64496,Rural,Small,North,Zone 6,1,0,4,5187,Company Owned,29,0,0,1,146,24.0,,21,0,C,1,9,29117
WH_101909,EID_51909,Rural,Large,North,Zone 5,3,1,2,6004,Company Owned,42,0,0,1,158,39.0,2003.0,26,0,B+,5,14,31145
WH_115690,EID_65690,Rural,Small,South,Zone 6,2,0,2,4426,Rented,41,0,0,1,160,26.0,,24,0,B,4,9,30064
WH_108353,EID_58353,Rural,Large,West,Zone 5,6,0,6,4241,Company Owned,48,0,0,1,201,28.0,1998.0,28,0,A,5,14,37070
WH_124453,EID_74453,Rural,Mid,North,Zone 2,4,2,3,5602,Company Owned,53,0,0,0,265,,,22,0,B,3,1,25146
WH_120177,EID_70177,Rural,Mid,South,Zone 2,0,0,3,4317,Company Owned,32,0,0,1,57,21.0,,0,0,,0,1,4139
WH_123923,EID_73923,Rural,Mid,North,Zone 3,7,0,4,4588,Rented,47,0,0,0,99,35.0,2014.0,16,0,A,2,19,23080
WH_124448,EID_74448,Rural,Mid,North,Zone 3,7,0,6,6218,Company Owned,61,0,0,1,243,26.0,2000.0,25,0,B,2,27,29083
WH_102835,EID_52835,Rural,Large,North,Zone 5,0,1,2,4388,Rented,30,0,0,1,91,32.0,,8,0,C,1,17,11133
WH_111455,EID_61455,Rural,Mid,South,Zone 4,1,0,1,5498,Company Owned,51,1,0,1,177,31.0,,16,0,C,6,26,20105
WH_107213,EID_57213,Urban,Mid,West,Zone 3,1,0,4,4296,Company Owned,35,1,0,1,141,32.0,,23,0,B+,3,19,27151
WH_107605,EID_57605,Rural,Large,North,Zone 6,1,0,2,5176,Rented,28,0,0,1,240,35.0,,11,0,A+,5,28,15095
WH_100975,EID_50975,Rural,Large,South,Zone 5,6,0,2,5640,Company Owned,42,0,0,0,103,31.0,2000.0,24,0,B,4,10,29119
WH_102268,EID_52268,Rural,Small,South,Zone 1,4,0,2,5099,Company Owned,60,0,0,1,113,56.0,2012.0,21,0,B,1,21,26098
WH_103770,EID_53770,Rural,Small,North,Zone 1,6,2,2,5806,Company Owned,55,0,0,1,133,42.0,2007.0,29,1,A+,5,16,38106
WH_117798,EID_67798,Rural,Small,South,Zone 6,3,0,3,4909,Rented,64,0,0,1,211,22.0,2017.0,11,1,A+,3,2,15148
WH_114984,EID_64984,Rural,Mid,North,Zone 2,7,0,3,5155,Rented,51,0,0,0,81,27.0,2001.0,28,1,A+,3,1,39064
WH_100132,EID_50132,Rural,Small,North,Zone 1,1,1,2,4554,Rented,31,0,1,1,144,39.0,,24,0,A,4,3,30106
WH_110131,EID_60131,Rural,Small,North,Zone 6,7,0,2,5130,Company Owned,40,0,1,1,72,27.0,2014.0,16,1,B,1,13,21061
WH_123451,EID_73451,Rural,Mid,South,Zone 3,4,0,2,7754,Company Owned,43,0,0,1,244,29.0,2004.0,26,0,A,4,27,34080
WH_100581,EID_50581,Rural,Mid,South,Zone 3,5,4,3,5807,Company Owned,41,0,0,1,178,24.0,,15,0,B,5,27,17129
WH_123786,EID_73786,Rural,Large,North,Zone 6,0,0,3,4755,Company Owned,65,0,0,1,116,21.0,,30,0,A+,4,23,40061
WH_109716,EID_59716,Rural,Small,North,Zone 6,7,0,2,5153,Company Owned,16,1,0,1,56,28.0,2004.0,22,0,B+,2,15,27136
WH_109035,EID_59035,Rural,Large,North,Zone 5,3,0,1,5451,Company Owned,61,0,0,0,79,20.0,2017.0,9,0,B,1,17,12095
WH_115992,EID_65992,Rural,Large,North,Zone 5,1,0,2,3694,Rented,36,0,0,0,238,21.0,,35,1,A+,3,24,49055
WH_100393,EID_50393,Rural,Mid,North,Zone 4,8,3,3,6237,Rented,66,0,0,0,134,20.0,,4,1,B+,6,26,4055
WH_110218,EID_60218,Rural,Large,North,Zone 5,0,2,2,3519,Company Owned,23,0,0,0,238,35.0,,13,0,B+,4,24,15077
WH_121609,EID_71609,Rural,Mid,South,Zone 2,0,2,2,5446,Company Owned,51,0,0,1,56,37.0,,9,0,B,4,32,11055
WH_117729,EID_67729,Urban,Small,North,Zone 1,7,2,3,4261,Company Owned,25,0,0,1,121,31.0,2010.0,18,0,B,3,31,21087
